,iterations per agent,number of agents,random seed,average utility of best design,smax,smin,number of created designs
0,0,10,0,0.0711531326602223,0.8403284943340321,0.0711531326602223,1
1,1,10,0,0.072358179844712,0.8403284943340321,0.0711531326602223,7
2,3,10,0,0.0757717944117259,0.8403284943340321,0.0711531326602223,15
3,5,10,0,0.0793597683744985,0.8403284943340321,0.0711531326602223,20
4,7,10,0,0.0839890460867116,0.8403284943340321,0.0711531326602223,28
5,9,10,0,0.0909755844786899,0.8403284943340321,0.0711531326602223,37
6,11,10,0,0.0951759786448364,0.8403284943340321,0.0711531326602223,43
7,13,10,0,0.1053497197918044,0.8403284943340321,0.0711531326602223,49
8,15,10,0,0.1085027242713508,0.8403284943340321,0.0711531326602223,55
9,17,10,0,0.1105674560960107,0.8403284943340321,0.0711531326602223,63
10,19,10,0,0.1148987647130909,0.8403284943340321,0.0711531326602223,69
11,21,10,0,0.1148987647130909,0.8403284943340321,0.0711531326602223,72
12,23,10,0,0.124092985187215,0.8403284943340321,0.0711531326602223,78
13,25,10,0,0.1367411556573916,0.8403284943340321,0.0711531326602223,83
14,27,10,0,0.138327564098603,0.8403284943340321,0.0711531326602223,90
15,29,10,0,0.1419141032795543,0.8403284943340321,0.0711531326602223,95
16,31,10,0,0.1651142466900786,0.8403284943340321,0.0711531326602223,106
17,33,10,0,0.18413824308079,0.8403284943340321,0.0711531326602223,114
18,35,10,0,0.1940277910609071,0.8403284943340321,0.0711531326602223,123
19,37,10,0,0.1959007187090611,0.8403284943340321,0.0711531326602223,128
20,39,10,0,0.206078115881653,0.8403284943340321,0.0711531326602223,135
21,41,10,0,0.210464484906566,0.8403284943340321,0.0711531326602223,141
22,43,10,0,0.216654573182476,0.8403284943340321,0.0711531326602223,144
23,45,10,0,0.216654573182476,0.8403284943340321,0.0711531326602223,147
24,47,10,0,0.2228815096839419,0.8403284943340321,0.0711531326602223,154
25,49,10,0,0.2361385669823873,0.8403284943340321,0.0711531326602223,157
26,0,10,1,0.1100075571410867,0.906955988151384,0.1100075571410867,1
27,1,10,1,0.110953896200154,0.906955988151384,0.1100075571410867,6
28,3,10,1,0.1132615934724946,0.906955988151384,0.1100075571410867,15
29,5,10,1,0.116909275662986,0.906955988151384,0.1100075571410867,20
30,7,10,1,0.1223713104664182,0.906955988151384,0.1100075571410867,31
31,9,10,1,0.1245106324262584,0.906955988151384,0.1100075571410867,40
32,11,10,1,0.1256674053902429,0.906955988151384,0.1100075571410867,44
33,13,10,1,0.1315525724264291,0.906955988151384,0.1100075571410867,52
34,15,10,1,0.1328883205677715,0.906955988151384,0.1100075571410867,56
35,17,10,1,0.1341331937276856,0.906955988151384,0.1100075571410867,63
36,19,10,1,0.136789799846885,0.906955988151384,0.1100075571410867,66
37,21,10,1,0.136789799846885,0.906955988151384,0.1100075571410867,71
38,23,10,1,0.136789799846885,0.906955988151384,0.1100075571410867,78
39,25,10,1,0.1380718129152895,0.906955988151384,0.1100075571410867,81
40,27,10,1,0.1408449635131926,0.906955988151384,0.1100075571410867,84
41,29,10,1,0.1453114250085576,0.906955988151384,0.1100075571410867,91
42,31,10,1,0.150076643972346,0.906955988151384,0.1100075571410867,99
43,33,10,1,0.150076643972346,0.906955988151384,0.1100075571410867,103
44,35,10,1,0.1544346988129273,0.906955988151384,0.1100075571410867,112
45,37,10,1,0.1583610378255689,0.906955988151384,0.1100075571410867,117
46,39,10,1,0.1583610378255689,0.906955988151384,0.1100075571410867,121
47,41,10,1,0.1637786869624886,0.906955988151384,0.1100075571410867,126
48,43,10,1,0.1637786869624886,0.906955988151384,0.1100075571410867,133
49,45,10,1,0.1637786869624886,0.906955988151384,0.1100075571410867,138
