number of agents,random seed,votes per solution,average utility of best design,average utility of final design (stage 1),average utility of final design (stage 1+2),smax,smin,number of created designs,utility param,number of same designs,iterations of phase 1,median of avg utility in repo
100,0,1,0.7398957889571733,0.48525579573176647,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.6182718780481565,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.6463144165978005,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.6463144165978005,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.6330309303741272,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.4800981780401055,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.48525579573176647,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.5913847255705235,0.6330309303741272,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.5900910335161271,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.5913847255705235,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.6065202104068118,0.6182718780481565,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.46701285069114173,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.44254103834106284,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.6182718780481565,0.6330309303741272,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.6330309303741272,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.6065202104068118,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.6003295459610224,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,1,0.7398957889571733,0.5833554695257501,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.6010849780038133,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.6003295459610224,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7301254036388809,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.6205813287654541,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.6205813287654541,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.6463144165978005,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.5833554695257501,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.6205813287654541,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7301254036388809,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,2,0.7398957889571733,0.6463144165978005,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,3,0.7398957889571733,0.5961134192958906,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,3,0.7398957889571733,0.6330309303741272,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,3,0.7398957889571733,0.48525579573176647,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,3,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,3,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,3,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,3,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,3,0.7398957889571733,0.6182718780481565,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,3,0.7398957889571733,0.7301254036388809,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,3,0.7398957889571733,0.6065202104068118,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,4,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,4,0.7398957889571733,0.5900910335161271,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,4,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,4,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,4,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,4,0.7398957889571733,0.6235974351206759,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,4,0.7398957889571733,0.6235974351206759,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,4,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,4,0.7398957889571733,0.6463144165978005,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,4,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,5,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,5,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,5,0.7398957889571733,0.6065202104068118,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,5,0.7398957889571733,0.5913847255705235,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,5,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,5,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,5,0.7398957889571733,0.6463144165978005,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,5,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,5,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,5,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,6,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,6,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,6,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,6,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,6,0.7398957889571733,0.6003295459610224,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,6,0.7398957889571733,0.7301254036388809,0.7301254036388809,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,6,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,6,0.7398957889571733,0.6235974351206759,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,6,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,6,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,8,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,8,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,8,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,8,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,8,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,8,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,8,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,8,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,8,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,8,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,11,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,11,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,11,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,11,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,11,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,11,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,11,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,11,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,11,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,11,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,14,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,14,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,14,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,14,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,14,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,14,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,14,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,14,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,14,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,14,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,18,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,18,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,18,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,18,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,18,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,18,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,18,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,18,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,18,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,18,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,23,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,23,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,23,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,23,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,23,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,23,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,23,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,23,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,23,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,23,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,29,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,29,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,29,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,29,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,29,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,29,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,29,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,29,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,29,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,29,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,37,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,37,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,37,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,37,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,37,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,37,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,37,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,37,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,37,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,37,0.7398957889571733,0.7398957889571733,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
100,0,48,0.7398957889571733,0.7301254036388809,0.7398957889571733,0.8482605567898969,0.118042248891302,101,30,0,0,0.4798367264267616
