number of agents,repetition,average utility of voted design,smax,smin,tforminmax,trun,time for 1 agent,number of created designs,number of iterations,Tadd,Tselect,max mutstep,maxshift
2000,0,1.2370747293238213,18.030366672830166,0.7920515347785189,10.787829542008694,7.043756125000073,0.0001131582108209841,1860,4000,0.01,0.15,0.2,30
2000,1,1.0696234149552275,17.90098769238044,0.8206364601327377,11.178857208011323,6.84140562498942,0.00011286404928614501,1831,4000,0.01,0.15,0.2,30
2000,2,1.4594792195183222,17.676299171190298,0.8313983168491628,10.907417249996797,6.97686245800287,0.0001233408670159406,1841,4000,0.01,0.15,0.2,30
2000,3,0.945573764880862,17.693039154231045,0.8060645211196384,10.435421874994063,6.458162625000114,0.00012119759784764027,1727,4000,0.01,0.15,0.2,30
2000,4,1.2170261340321997,17.952443305662513,0.822051023386371,10.658093749996624,6.708635249990039,0.00011653559758997289,1789,4000,0.01,0.15,0.2,30
2000,5,1.181933012662913,18.062791584347853,0.8238943825617561,10.907129875005921,6.688880500005325,0.0001183078403955733,1817,4000,0.01,0.15,0.2,30
2000,6,1.3272759589009762,18.04494611089415,0.8101733041469827,10.796889082994312,6.697895499994047,0.00011647040079333238,1833,4000,0.01,0.15,0.2,30
2000,7,0.9446796035992622,18.273968018709486,0.7818444004493257,10.928477791007026,6.70052054199914,0.00012125625053886325,1797,4000,0.01,0.15,0.2,30
2000,8,1.40378092864006,18.074242555489707,0.8535120314921365,10.559980250007357,7.0805614160053665,0.0001113097312481841,1860,4000,0.01,0.15,0.2,30
2000,9,1.2211139689421586,18.289609132168977,0.8105758048508641,10.462248499999987,6.66320199999609,0.0001178634176030755,1822,4000,0.01,0.15,0.2,30
3000,0,1.2232584114268048,18.05029677336614,0.7861229966017215,16.14886212500278,13.537623875003192,0.00011214892008380655,2651,6000,0.01,0.15,0.2,30
3000,1,1.4888731032991565,18.100404431479678,0.8060700709256607,16.233502540999325,14.680858499996248,0.00011472190002920495,2724,6000,0.01,0.15,0.2,30
3000,2,1.7290985401227164,17.627450020046876,0.8486224191078978,16.387440957987565,15.18305158300791,0.00011672767401857223,2770,6000,0.01,0.15,0.2,30
3000,3,1.7180141246911904,17.754091502277337,0.8127904944124025,16.016726458998164,14.397314166999422,0.00011476698018426153,2693,6000,0.01,0.15,0.2,30
3000,4,1.229463847642367,17.97240464341777,0.8284553728575583,15.602074666996486,14.846095000000787,0.00011871789766883012,2705,6000,0.01,0.15,0.2,30
3000,5,1.4780498704235099,18.170822417088885,0.8193847442898643,15.646355457996833,14.89016745898698,0.00011498382770999646,2744,6000,0.01,0.15,0.2,30
3000,6,2.351129976243087,17.97211400280442,0.8197421202625554,15.847240333008813,15.41342408300261,0.00013220869979947263,2773,6000,0.01,0.15,0.2,30
3000,7,1.1418437392580154,18.15685974529271,0.7856475482969367,16.20371645799605,14.485878208011854,0.00011407819106049525,2682,6000,0.01,0.15,0.2,30
3000,8,1.6982792799799602,18.14328517035125,0.8535988613152704,15.242572832998121,15.217730791991926,0.00011486300210284146,2784,6000,0.01,0.15,0.2,30
3000,9,1.9571871397263652,18.17800004122165,0.8302940035902419,16.031586708995746,15.048132624986465,0.00013134553535443653,2749,6000,0.01,0.15,0.2,30
4000,0,2.371813177089657,18.07110848229909,0.7987087514648338,21.48699933401076,27.796067083996604,0.00012382427899865434,3679,8000,0.01,0.15,0.2,30
4000,1,2.422507129584371,18.10955833687659,0.806691074890174,23.11719158399501,28.517980834003538,0.00013218533827603096,3729,8000,0.01,0.15,0.2,30
4000,2,1.991462575045137,17.643144720935876,0.8462748962974259,21.07709762500599,27.27565962501103,0.00011821558137671673,3680,8000,0.01,0.15,0.2,30
4000,3,2.2817164592835657,17.987493215087213,0.8177403081053042,23.10486554200179,27.096221792002325,0.0001324900317213178,3630,8000,0.01,0.15,0.2,30
4000,4,2.203597125133502,17.960736053402943,0.8360334657098136,20.909731708001345,27.824127542000497,0.0001217762012638559,3640,8000,0.01,0.15,0.2,30
4000,5,3.5388565269699237,18.088183662284138,0.8250035527714886,22.930728542007273,28.52428716699069,0.0001306258107888425,3687,8000,0.01,0.15,0.2,30
4000,6,3.364961142835177,18.03268052948646,0.8170635205519639,21.246446292003384,27.462471833001473,0.00011910783116582025,3672,8000,0.01,0.15,0.2,30
4000,7,1.7693037424333722,18.18559220797054,0.7855113877600673,22.98358487500809,27.247225291008363,0.00012559310342840035,3637,8000,0.01,0.15,0.2,30
4000,8,3.431375697702274,18.182502553354137,0.8434430169108731,21.474160208003013,27.80348345900711,0.00011780613053451816,3698,8000,0.01,0.15,0.2,30
4000,9,2.4880812963393355,18.140393755623734,0.8182300985442684,23.025156707997667,27.927873958993587,0.00013475275243217765,3695,8000,0.01,0.15,0.2,30
6000,0,10.648530657640103,18.233836925995607,0.7946656910763508,33.498131750005996,61.03996812499827,0.000134957337451245,5542,12000,0.01,0.15,0.2,30
6000,1,6.405058631856035,18.11941179769022,0.8063190958965689,34.162739416991826,62.72233899999992,0.00013593513663605943,5546,12000,0.01,0.15,0.2,30
6000,2,10.917400335214841,17.825408595351885,0.842015057212995,33.51600454200525,63.01991537499998,0.00013494810205277947,5613,12000,0.01,0.15,0.2,30
6000,3,6.686483720405976,17.983561557589784,0.8227223590166771,34.62853833301051,62.76742616700358,0.00014399748881987763,5516,12000,0.01,0.15,0.2,30
6000,4,11.503063668808467,17.96475047998445,0.825221948429481,33.697027709000395,63.375761624993174,0.00014426437243673717,5637,12000,0.01,0.15,0.2,30
6000,5,5.014610181863362,18.130650187017697,0.837118439010267,34.092243958992185,62.70791745799943,0.00014778748857012639,5498,12000,0.01,0.15,0.2,30
6000,6,6.918839354270603,18.059548116715693,0.8235503083886647,33.42944649999845,61.982576958005666,0.00014152436811370233,5538,12000,0.01,0.15,0.2,30
6000,7,2.3639133474237743,18.090867564060076,0.7895500198310356,34.70654608400946,62.16816779100918,0.00014287523743162941,5455,12000,0.01,0.15,0.2,30
6000,8,2.61085195456909,18.02705421104602,0.8457094900385851,33.38695766600722,60.33896604200709,0.0001414864286161901,5404,12000,0.01,0.15,0.2,30
6000,9,10.084546978007145,18.133350711662,0.8236035990435312,34.47545691700361,65.72597320799832,0.00014711784314810452,5674,12000,0.01,0.15,0.2,30
7000,0,13.452200576726232,18.208227893640398,0.7974697368555557,40.41303454199806,86.77027608299977,0.000133441036633615,6591,14000,0.01,0.15,0.2,30
7000,1,11.393890096209907,18.245780715226577,0.8050831719971524,41.3523034999962,86.51342274999479,0.00014263314009544306,6516,14000,0.01,0.15,0.2,30
7000,2,15.66516607956749,17.839472397513784,0.8422247248492502,40.03309562499635,88.70315554199624,0.00013331341692537536,6646,14000,0.01,0.15,0.2,30
7000,3,13.436972179802915,17.993360316624546,0.8214666748538159,41.228241124990745,86.53123291701195,0.00013938921467966534,6595,14000,0.01,0.15,0.2,30
7000,4,7.21267736579748,17.99326706212712,0.825772121148376,41.03468979199533,88.0235742090008,0.00013783612976736288,6552,14000,0.01,0.15,0.2,30
7000,5,14.414248215481438,18.147658237142313,0.8373078070067056,41.63663845798874,87.73286529199686,0.00013831867720000445,6610,14000,0.01,0.15,0.2,30
7000,6,10.219928728330684,18.11227537609323,0.8156467309384877,39.63673058300628,87.01791295901057,0.00013908516123462635,6545,14000,0.01,0.15,0.2,30
7000,7,14.81480457480189,18.017144265073515,0.7931063155444329,42.18084483400162,85.83991366700502,0.0001404620307470655,6508,14000,0.01,0.15,0.2,30
7000,8,8.880294746976876,18.03058102271892,0.8412523654325386,40.04418179199274,85.2552332500054,0.00013461344652750996,6472,14000,0.01,0.15,0.2,30
7000,9,8.576886479006077,18.13807272418247,0.8203035071927661,42.23558358399896,83.6776844579872,0.00013896457243494557,6353,14000,0.01,0.15,0.2,30
8000,0,12.050222204596347,18.222030052716793,0.8060908752658776,47.09103962499648,106.92826687500929,0.00014182340640581968,7445,16000,0.01,0.15,0.2,30
8000,1,15.30523776546999,18.210809932586457,0.8027481030296761,33.185270166999544,84.99964149999141,9.916976712156611e-05,7538,16000,0.01,0.15,0.2,30
8000,2,16.463346260082577,17.931925069968244,0.8310132462382157,47.44409341699793,111.43540637499245,0.00014097497374132218,7706,16000,0.01,0.15,0.2,30
8000,3,16.10482629391327,17.995656507924807,0.827370979392495,34.078850999998394,84.99146233400097,0.00010004945317632519,7497,16000,0.01,0.15,0.2,30
8000,4,17.424876085805227,18.04741839412701,0.8207301591012721,47.35807395799202,111.99353291699663,0.00014583166672036896,7758,16000,0.01,0.15,0.2,30
8000,5,16.3708604758144,18.204109950466627,0.8322546299403292,33.377783625008306,87.84955166699365,9.916000066186826e-05,7688,16000,0.01,0.15,0.2,30
8000,6,15.015057685208577,18.073260711270212,0.8159529919869563,47.45083804200112,106.6473368750012,0.0001383330259604918,7495,16000,0.01,0.15,0.2,30
8000,7,13.341041074191812,17.986211835118514,0.7964644575604534,34.49099470800138,84.7804571250017,9.932261589892733e-05,7508,16000,0.01,0.15,0.2,30
8000,8,15.383583607581617,18.08629394205261,0.8428409184669278,46.53600095798902,107.3802762080013,0.00014261277960122244,7503,16000,0.01,0.15,0.2,30
8000,9,14.836593779721,18.160699824057836,0.8193080216873041,34.386739000008674,83.23293058399577,9.851993902793765e-05,7402,16000,0.01,0.15,0.2,30
