number of agents,repetition,average utility of voted design,smax,smin,tforminmax,trun,time for 1 agent,number of created designs,number of iterations,Tadd,Tselect,max mutstep,maxshift
10,5,0.5694024867491622,18.813312800967047,0.521287381141254,0.19834079199790722,0.0030995420020190068,7.944579956529197e-05,12,20,0.01,0.15,0.2,30
10,6,0.88775915785438,18.35210718603562,0.7973225409935116,0.24221595899871318,0.003377042005013209,8.047705014178064e-05,15,20,0.01,0.15,0.2,30
10,7,1.2420256052880576,17.66943005011353,1.1156016099483692,0.21589775000029476,0.0021083749961690046,7.188964955275878e-05,9,20,0.01,0.15,0.2,30
10,8,1.193164465337321,20.629924895367978,1.0818971409821954,0.2229097500021453,0.0031283330026781186,7.819589991413523e-05,12,20,0.01,0.15,0.2,30
10,9,0.5864268313817758,20.030468341724198,0.4861230370232394,0.18105879200447816,0.0034637079952517524,7.923759985715151e-05,16,20,0.01,0.15,0.2,30
100,5,0.9671699643815928,17.83099712716013,0.7938043782794751,0.6962124170022435,0.053108500003872905,0.00011560997485503322,110,200,0.01,0.15,0.2,30
100,6,0.8894305226422966,17.921556209293463,0.7767056498278394,0.7069590000028256,0.05459975000121631,0.00013900876030675135,103,200,0.01,0.15,0.2,30
100,7,0.7908266831634054,16.68648465439692,0.7068903748267442,0.6887062079986208,0.06219283300015377,0.00012122356492909603,104,200,0.01,0.15,0.2,30
100,8,0.8700245906211438,19.152464085507972,0.768748786057641,0.7009957080008462,0.04490316699957475,8.685414501087507e-05,83,200,0.01,0.15,0.2,30
100,9,0.6938839698258547,19.511612556134203,0.5712478544074585,0.7098111669984064,0.039877791998151224,8.658603983349166e-05,91,200,0.01,0.15,0.2,30
1000,5,1.10147073691511,17.882871876569997,0.8938434731176275,5.887212999994517,1.9334590409998782,0.00011808078987451154,907,2000,0.01,0.15,0.2,30
1000,6,0.8976371933554308,18.2966966076034,0.7797152974493352,5.4436873750019,1.902149166999152,0.0001205100284969376,900,2000,0.01,0.15,0.2,30
1000,7,0.9590430806022571,18.57794489270804,0.7672653878542398,5.523411999995005,1.9332255420013098,0.00011428227354190312,892,2000,0.01,0.15,0.2,30
1000,8,1.1910975309317713,18.445317738757023,0.8664047335340199,5.6762969580013305,2.0744847919995664,0.00011936212860018714,930,2000,0.01,0.15,0.2,30
1000,9,0.969116903960562,18.591129567767705,0.7782521168918323,6.075659957998141,1.9617841660001432,0.00011475880859870813,936,2000,0.01,0.15,0.2,30
5000,5,4.3399069270000865,18.025747889300696,0.8330581332855258,27.481666249994305,43.28237462499965,0.00012404734152733,4674,10000,0.01,0.15,0.2,30
5000,6,7.579149532598173,18.070997588937914,0.8210870687123323,27.294255000000703,42.45109933299682,0.0001209611462734756,4599,10000,0.01,0.15,0.2,30
5000,7,1.8242452960975788,18.142326518503662,0.7822878808976524,27.620179792000272,42.284360249999736,0.00012628301092699985,4601,10000,0.01,0.15,0.2,30
5000,8,4.103468365953781,18.10832655537328,0.8471598139998676,27.21915916600119,41.38169833300344,0.00012330215867696097,4557,10000,0.01,0.15,0.2,30
5000,9,7.2394518694290175,18.08723758489496,0.8270482931464139,27.881057083002815,42.02800758399826,0.00012676563815257395,4623,10000,0.01,0.15,0.2,30
10000,5,15.736611476293643,18.239366997699005,0.8359157335090834,54.632539666999946,130.43558945899713,0.00010697884489709396,9357,20000,0.01,0.15,0.2,30
10000,6,17.993670506788146,18.08236417268271,0.8146749836602352,54.63105658299901,134.15910470900417,0.00010858137371615158,9577,20000,0.01,0.15,0.2,30
10000,7,16.75267495294557,17.955436029662174,0.8055897395512859,56.868572291998134,135.22626237499935,0.00010727238529434545,9566,20000,0.01,0.15,0.2,30
10000,8,17.952086276101994,18.08488291867668,0.8444833060195528,53.880721708002966,140.53652545800287,0.00010982482816289121,9811,20000,0.01,0.15,0.2,30
10000,9,17.762128268278286,18.095831034563588,0.8253325255986219,55.19597029099532,139.25602870799776,0.00010613692081678891,9745,20000,0.01,0.15,0.2,30
