number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
1,6,0.00025060847228911985,0.00025060847228911985,1.0,0.0,3,30,0,0.5,0.0002330632492250608
1,6,0.000634759568647855,0.000634759568647855,1.0,0.0,3,30,0,0.5,0.00023160237043330975
2,6,0.0018217405747315105,0.0018217405747315105,1.0,0.0009736705112022633,3,30,0,0.5,0.0012550404264363981
4,6,0.12715641135733508,0.12715641135733508,0.9489510836114387,0.12431962811641692,5,30,0,0.5,0.12505820414812882
6,6,0.12468595530618813,0.12468595530618813,0.9426900172225752,0.12344471562178842,6,30,0,0.5,0.12411537487006702
11,6,0.09383845055404577,0.09383845055404577,0.8989634275257405,0.09200390055718842,11,30,0,0.5,0.09285823264535091
18,6,0.1257719838565765,0.1257719838565765,0.8629582819725896,0.10850518865036679,24,30,0,0.5,0.1133434337083157
29,6,0.13174142222992885,0.13174142222992885,0.8411806807347173,0.10507022540267193,26,30,4,0.5,0.10928052901373703
48,6,0.14949377340594766,0.14757622521064734,0.8452895925714253,0.13726863260725053,43,30,10,0.5,0.13995032925149578
78,6,0.16958698121881285,0.16838507988232354,0.8383448170980617,0.13967931867604433,66,30,22,0.5,0.14479398232753812
127,6,0.17944427800107896,0.17260843139498175,0.8330055057594387,0.1463929063567873,88,30,45,0.5,0.1528355350619109
206,6,0.19572092048338635,0.19572092048338635,0.8360929754714447,0.14085272199867785,156,30,107,0.5,0.15385709368055173
335,6,0.2520586172311401,0.2520586172311401,0.8415674243326884,0.13893552773053175,229,30,221,0.5,0.15991683024688794
545,6,0.25245177450704337,0.25245177450704337,0.8318592226418408,0.1389348514323287,322,30,457,0.5,0.17406531541192574
885,6,0.5321042239908227,0.5321042239908227,0.8312351043049906,0.14358548848541572,422,30,905,0.5,0.27110904796832613
1438,6,0.4302363276218067,0.4302363276218067,0.8341749760745336,0.14028560751566993,695,30,1701,0.5,0.20134688498892714
2335,6,0.5461454789632982,0.5461454789632982,0.8344200167779532,0.14203686203890958,893,30,3153,0.5,0.2690768666508024
3792,6,0.5840367655429319,0.5830075575863348,0.8376833228191053,0.1396810070676795,1304,30,5618,0.5,0.31123140034661523
6158,6,0.6262406633851161,0.6139474932370671,0.8366152897098033,0.14141525892350645,1966,30,9788,0.5,0.42924455211997725
