number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs
10,6,0.36578035585083446,0.36578035585083446,0.6637312973415325,0.36525761351855346,10,40,0
20,6,0.37576032405856047,0.3752317923398817,0.5967197226592977,0.3738697076335839,13,40,0
30,6,0.4072351158038425,0.4069522361366184,0.5735640785850383,0.40596406758244924,26,40,3
40,6,0.39509890398321895,0.3946374074671515,0.5958106355660228,0.39277766567619266,23,40,5
50,6,0.434286287426265,0.43233363507480277,0.5879604278432232,0.42846168749839114,34,40,6
60,6,0.4546103719661331,0.45205180518470556,0.5897271499667183,0.44582854417205975,32,40,22
70,6,0.46413384441879607,0.46413384441879607,0.5773005947628521,0.4539315215305316,42,40,38
80,6,0.4491856894649599,0.44872992239533865,0.5558704541839464,0.44714262538619753,38,40,49
90,6,0.46221197799617847,0.46195409443372676,0.5576454458398998,0.45756078400635325,57,40,65
100,6,0.4655141218066652,0.46518949040739555,0.5544547082020068,0.4635991160009192,47,40,92
10,7,0.3590485187665458,0.3590485187665458,0.6472273955619157,0.35872120061043344,12,40,0
20,7,0.39849267801530347,0.39849267801530347,0.6071314981607138,0.3969046395119651,17,40,1
30,7,0.4188699045759588,0.41828176333813094,0.5775968575179696,0.41731106907086585,27,40,9
40,7,0.4325190531768318,0.4325190531768318,0.5718645546493659,0.4291073609298186,33,40,15
50,7,0.42869332815817957,0.4282360641624397,0.5744872611526576,0.42614407898573964,38,40,28
60,7,0.44753995250591505,0.44753995250591505,0.5789592098148959,0.44478023332937394,42,40,40
70,7,0.4481108292234242,0.4478482301579572,0.5617223621405287,0.4471307465752726,56,40,55
80,7,0.44943691044268813,0.4491877494983026,0.5452548280567977,0.4480043170004119,58,40,76
90,7,0.45144247824142625,0.4510711675806778,0.5586992034398839,0.4500627173373948,55,40,111
100,7,0.4527623408136047,0.4527623408136047,0.5576560980534007,0.4519583648860827,68,40,137
10,8,0.36247112904129375,0.36247112904129375,0.6367146760956056,0.36132095174758383,12,40,0
20,8,0.3504959731318881,0.35006655469681036,0.605305050378776,0.3486660482069134,19,40,1
30,8,0.39620837756429456,0.39620837756429456,0.5741297875609708,0.39359044549151545,30,40,7
40,8,0.4148894838807273,0.4148894838807273,0.577783894498274,0.41360382969268034,32,40,10
50,8,0.435296005487112,0.4347660974027006,0.5518961052520363,0.4340578880104009,49,40,22
60,8,0.4529133210468289,0.45287041936025546,0.563999921424413,0.45156245248892224,54,40,33
70,8,0.45214788449127935,0.45214788449127935,0.5625945469018708,0.4506518978433034,51,40,46
80,8,0.4612445195356569,0.46092797663691343,0.5618634572636811,0.4591859067451446,68,40,69
90,8,0.4555958870542963,0.4547537015660273,0.5535025395373714,0.45120286281477456,62,40,88
100,8,0.4612054909435034,0.4605125695026068,0.5540293049337486,0.45814156478199763,77,40,117
10,9,0.3341576031022276,0.3341576031022276,0.7210968700389843,0.33323939314496315,11,40,0
20,9,0.413616871681485,0.4130453264394342,0.6084486294412759,0.41236490994563446,14,40,1
30,9,0.40935927464466576,0.40904430798249075,0.5730898295216548,0.4073682038523409,29,40,10
40,9,0.424267468462876,0.4239554246894411,0.5711598646534444,0.4224923552568015,36,40,21
50,9,0.44614337395567205,0.4455880357223805,0.5663329361719182,0.44484714413966236,36,40,29
60,9,0.45416525230883487,0.4538666451569238,0.546062631455404,0.45290062210429605,48,40,41
70,9,0.46315200708454857,0.4630563898003895,0.561791828050182,0.462044505818814,56,40,53
80,9,0.4652299277127917,0.46444556407430715,0.5541078838357865,0.4633313406756094,67,40,70
90,9,0.4629480984803964,0.46207744442078613,0.5494681286832314,0.46068937636461027,68,40,95
100,9,0.46860591989640354,0.46860591989640354,0.5427334009508176,0.46310089699601326,54,40,123
