number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
1,0,0.00023763341259153378,0.00023763341259153378,1.0,0.0,3,30,0,0.5
21,0,0.07357989702905336,0.003377542434377709,0.8323759478598861,0.06831995427131494,20,30,0,0.5
41,0,0.12432819660204064,0.003032395039074162,0.8790299633593283,0.086198569836199,35,30,4,0.5
61,0,0.12867117286108706,0.002011892289310144,0.8833278762641064,0.11458747561672845,49,30,14,0.5
81,0,0.14434249996815451,0.0017454417809305864,0.8668275776255375,0.12077474350137651,68,30,31,0.5
101,0,0.18342728702536432,0.0016544078611033571,0.8532033880914968,0.12286477682410316,76,30,53,0.5
121,0,0.21208661363981043,0.0017527819309075242,0.8547428853630438,0.12372493993078905,89,30,87,0.5
141,0,0.16299496994099846,0.001090069081835863,0.8528604201306803,0.1276088622275031,101,30,118,0.5
161,0,0.24304300029457976,0.0015095838527613649,0.8447455769413319,0.12562292161065236,106,30,184,0.5
181,0,0.1722448765808571,0.0009144560055190218,0.8411615038995622,0.12586357545031843,131,30,239,0.5
201,0,0.19162407130894227,0.0009533535886017029,0.8397293220909366,0.12755613981525182,136,30,300,0.5
221,0,0.19453616648276328,0.0007933764892816931,0.8400480997683741,0.12854485211025948,160,30,378,0.5
241,0,0.22837756430041922,0.0009410370824850117,0.8396668665614714,0.12624323004640786,147,30,470,0.5
261,0,0.24368695622929334,0.000920588048641488,0.8421426645228687,0.1284869870846167,152,30,567,0.5
281,0,0.3088101395372349,0.001098968468104039,0.8385412293162057,0.1282171165228951,187,30,675,0.5
301,0,0.2196154536619814,0.000729619447381998,0.8385358664011735,0.12704592749021285,195,30,773,0.5
321,0,0.2623452966751398,0.0008172750675237999,0.8395803133301948,0.12595668493599665,198,30,903,0.5
341,0,0.24611451943661503,0.0007130293679975232,0.8421322596027128,0.12575060785820186,210,30,1021,0.5
361,0,0.26159017244094557,0.000724626516456913,0.8459154105601026,0.12590191473012086,229,30,1169,0.5
381,0,0.3814621497627598,0.0009996480053095854,0.8473319920810791,0.1287809610300828,234,30,1329,0.5
1,1,0.00014641833398757186,0.00014641833398757186,1.0,0.0,2,30,0,0.5
21,1,0.148484072065899,0.006893959355722042,0.8739341621588885,0.13862545420611108,20,30,0,0.5
41,1,0.12590745811387966,0.0030171250905408364,0.8685497143692237,0.1175156875212204,36,30,8,0.5
61,1,0.15687256800113386,0.0025716814426415386,0.8670242007843167,0.14275811168171598,51,30,18,0.5
81,1,0.16316299875324122,0.001917021405253219,0.8654998829893161,0.14292090593199905,67,30,37,0.5
101,1,0.16907785763035377,0.0016405317612877947,0.8681416460208679,0.1414755511834969,77,30,63,0.5
121,1,0.15400238382537546,0.0012087396323621526,0.8653253473715954,0.13636956771785375,80,30,95,0.5
141,1,0.1542430961335709,0.001088379203500967,0.8617724024394742,0.1330164804091122,99,30,131,0.5
161,1,0.16763877461223364,0.000978991745526167,0.8588363266050228,0.1337800959113209,122,30,185,0.5
181,1,0.18875917008952103,0.0009947964779940086,0.8578225943358829,0.13266470596420263,120,30,239,0.5
201,1,0.16838282065659707,0.0007679189651798115,0.8572075432746785,0.12967330518808887,134,30,309,0.5
221,1,0.15970224965146176,0.0006816543779403293,0.854796313144597,0.13130137208431403,161,30,384,0.5
241,1,0.1909297319577347,0.0007609418292986548,0.8573379497740249,0.1324291495231517,173,30,467,0.5
261,1,0.20624512444578358,0.000776820545355479,0.8589395555569138,0.13027241234583828,176,30,573,0.5
281,1,0.17652262715858666,0.0006059278374785738,0.8586009889142538,0.12822172465674844,178,30,671,0.5
301,1,0.20055671778389908,0.0006655910637894342,0.8600121978643669,0.12958371418515147,202,30,794,0.5
321,1,0.18833200902000793,0.0005551238184053144,0.8624706345838461,0.1323065293900092,243,30,908,0.5
341,1,0.17382435961243953,0.00047997046069161525,0.8643678512591806,0.1309345457219719,220,30,1029,0.5
361,1,0.2230484597154269,0.0006033563282057101,0.8617962082825499,0.13215398931711506,210,30,1181,0.5
381,1,0.20128929126160752,0.00048272084478876305,0.8609173416782152,0.1312876220744762,236,30,1333,0.5
1,2,0.0008180676090012677,0.0008180676090012677,1.0,0.0,3,30,0,0.5
21,2,0.17747013321325897,0.008450958724440903,0.890903592911352,0.1687383424830205,16,30,1,0.5
41,2,0.20720802197066976,0.005053854194406579,0.8969116266768905,0.1508417612914702,35,30,5,0.5
61,2,0.1753958787898445,0.002871983688593236,0.877880703958246,0.14284130559735464,49,30,22,0.5
81,2,0.1852841884392414,0.0022874591165338446,0.8762809039356197,0.1409462447884876,64,30,43,0.5
101,2,0.18327099245949668,0.001776535543418932,0.8634252341736676,0.1406863992709174,79,30,69,0.5
121,2,0.1925865000374321,0.0015906920175523332,0.8637158874882405,0.14716456675501685,89,30,100,0.5
141,2,0.22120475695523803,0.0015688280635123265,0.8673324499386834,0.1542905443206148,100,30,136,0.5
161,2,0.29296434726033477,0.0018196543308095327,0.8706713384393648,0.14448645443672048,105,30,199,0.5
181,2,0.2980685063588034,0.00164678732794919,0.8703930093167139,0.1480756968075906,109,30,253,0.5
201,2,0.3276955269306832,0.0016303260046302648,0.8677763213370853,0.15013659981504016,122,30,320,0.5
221,2,0.33945548351364163,0.0015359976629576544,0.8638739667808089,0.15258676862207501,142,30,387,0.5
241,2,0.25106331878118554,0.0010223795372607733,0.864828398897105,0.15524075751352917,156,30,491,0.5
261,2,0.2703344608552903,0.0010044834617511933,0.8640594923653622,0.15028828627126056,166,30,599,0.5
281,2,0.34555839446550624,0.001193810923383245,0.8659168294518106,0.15089500896503158,161,30,716,0.5
301,2,0.3544329359193792,0.0011775180595328212,0.8665241854123011,0.1495167312567064,180,30,837,0.5
321,2,0.2514801626317338,0.0007366001593591231,0.8643306790611652,0.15025943883275195,183,30,971,0.5
