number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
10,0,0.1531987909477792,0.01499067336664545,0.8409529702897979,0.10512799378144191,11,20,0,0.5
30,0,0.17960501014230346,0.005826725840983844,0.8488250317368101,0.14119788331672325,27,20,2,0.5
50,0,0.1853208892501708,0.0037064177850034156,0.8481254191656498,0.12437060795529613,41,20,12,0.5
70,0,0.15464722968786118,0.0019303207468430391,0.8545023978718358,0.12457258570043295,60,20,21,0.5
90,0,0.1740143607261299,0.001933492896956999,0.8691789384659668,0.13181521163622711,74,20,40,0.5
110,0,0.34771268761986235,0.003016252442710244,0.8662870510148218,0.137166204380105,95,20,63,0.5
130,0,0.21518160332060463,0.0016552431024661894,0.8684766317750435,0.1374420674222197,96,20,101,0.5
150,0,0.2526417047849542,0.0015043858503302066,0.8636491075882986,0.14052815962155152,105,20,143,0.5
170,0,0.25254473227311575,0.001471486617293895,0.8595921573885318,0.13315839464049067,108,20,200,0.5
190,0,0.2879236271649803,0.001477829211561269,0.8555967477459901,0.13605231012952135,140,20,264,0.5
210,0,0.26966457697126217,0.0012197281086832657,0.856076194013166,0.1366238380735496,136,20,344,0.5
230,0,0.40572325103045265,0.0017640141349150116,0.8514232448914759,0.13526992469123228,160,20,419,0.5
250,0,0.253922798333836,0.0009915897905739888,0.8544972902121716,0.1360935575986961,168,20,494,0.5
270,0,0.41464647343691985,0.0015357276793959995,0.8508240353157489,0.1357069706616051,175,20,587,0.5
290,0,0.359660928301927,0.0012402100975928516,0.8540517548915688,0.1347862941516423,188,20,707,0.5
310,0,0.31579275585653543,0.0009964318499686693,0.8547922977281646,0.13462826869218958,226,20,803,0.5
330,0,0.33081268059557234,0.0010024626684714314,0.8514587591917862,0.13644120412219435,205,20,957,0.5
350,0,0.30493439869603234,0.000871241139131521,0.8494361641784055,0.13693639103128202,209,20,1089,0.5
370,0,0.37090360896434577,0.0009856493415017163,0.8488677872572961,0.13755852833003165,221,20,1228,0.5
390,0,0.31453877077760445,0.0008065096686605243,0.8500166299701416,0.13678739894787253,217,20,1379,0.5
10,1,0.11557244699731148,0.011557244699731148,0.9017455943701418,0.08845977345048138,10,20,0,0.5
30,1,0.16311805081871164,0.005437268360623721,0.8502640656980699,0.137917905038872,23,20,1,0.5
50,1,0.2026783284899171,0.004053566569798342,0.8613746092084372,0.13106162647796116,47,20,13,0.5
70,1,0.23314069849774396,0.003330581407110628,0.8632029557052553,0.13394954070214857,48,20,30,0.5
90,1,0.3179352331990421,0.003532613702211579,0.8633614074915215,0.1342563748717244,67,20,53,0.5
110,1,0.2907701373999585,0.0025869649546845204,0.8697627996912463,0.14284454300858784,86,20,89,0.5
130,1,0.28806406072887625,0.002215877390222125,0.8714511086822728,0.14113543967555536,90,20,137,0.5
150,1,0.5029227017983606,0.0031610152430107297,0.8739089967357336,0.13994293403852764,102,20,178,0.5
170,1,0.4103923554580268,0.002352557505365849,0.8714902892843877,0.1413501974325335,118,20,231,0.5
190,1,0.4812331280589765,0.002532805937152508,0.8723839904713393,0.14123454575383831,120,20,300,0.5
210,1,0.37657118883956836,0.0017393552416749346,0.8713277211422042,0.14261495803378196,151,20,380,0.5
230,1,0.5622782186956083,0.00244468790737221,0.8728976928999449,0.1432154626185179,134,20,466,0.5
250,1,0.44979803600021967,0.0017991921440008787,0.8699055280978893,0.14269824611921153,160,20,560,0.5
270,1,0.6572465042227775,0.002434246311936213,0.8700342919253631,0.14559963458738434,136,20,688,0.5
290,1,0.4061707490580626,0.00138427960448359,0.8721522712411562,0.14456649509794992,180,20,800,0.5
310,1,0.6730089094914038,0.0021504989200718467,0.871779233239345,0.14223677020897138,173,20,931,0.5
330,1,0.5233021472987713,0.0015857640827235495,0.8724314268399104,0.14150415172133995,184,20,1073,0.5
350,1,0.5797448490029639,0.0016564138542941825,0.8702571341762496,0.14223578654873006,197,20,1227,0.5
370,1,0.5828145317447593,0.001575174410120971,0.8690905558587827,0.14184281747948224,208,20,1390,0.5
390,1,0.5600563770088492,0.0014116919684581928,0.8687006075126321,0.14000940109315999,223,20,1537,0.5
10,2,0.14046338520770896,0.014046338520770895,0.8852454648515536,0.13369065182873613,11,20,0,0.5
30,2,0.167546591912472,0.005436971241706746,0.8752437533390869,0.1405252305779279,28,20,2,0.5
50,2,0.17922448982120337,0.003483267231443504,0.8688293441952386,0.146912567568777,37,20,10,0.5
70,2,0.20043740114919759,0.002726796677387357,0.8639202897829268,0.16008866943457478,57,20,24,0.5
90,2,0.2349001278455996,0.0026023584950225593,0.8590049998450986,0.15902520703180953,68,20,43,0.5
110,2,0.26780681084988817,0.002433719503614113,0.8682245891084536,0.1561268164412284,83,20,77,0.5
130,2,0.24676960668756268,0.0018982277437504822,0.871922575989787,0.15434573360478696,97,20,121,0.5
150,2,0.23362319895751085,0.0015146743049941837,0.8723048357226255,0.15708214261871598,106,20,167,0.5
