number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
1000,0,0.42241596650446517,0.42241596650446517,0.8509180475880371,0.12748681442006268,441,30,562,0.5
1100,0,0.358965791319942,0.3547910223544526,0.8503417564859413,0.127668061530266,489,30,1187,0.5
1200,0,0.43857475223600073,0.43857475223600073,0.8490735235744209,0.12729956679081936,595,30,1788,0.5
1300,0,0.38737681562999016,0.37689293831194565,0.8500512537109209,0.12722960740030495,622,30,2495,0.5
1400,0,0.3688038059121163,0.3649374977798033,0.847736865633423,0.1270921400969037,640,30,3263,0.5
1500,0,0.46655191758893183,0.45940173088346636,0.8468481211241417,0.12667714892005036,654,30,4082,0.5
1600,0,0.35613625585768516,0.3528612606911702,0.8459385735553606,0.12583110107406711,773,30,4976,0.5
1700,0,0.3788972951618247,0.37839007791246226,0.8462254321612854,0.12686669474727041,768,30,5949,0.5
1800,0,0.31937280002371676,0.31937280002371676,0.8461920304125824,0.12716971448856568,831,30,6929,0.5
1900,0,0.34852752917191665,0.3386817076432675,0.8469726698001886,0.12735432518113246,834,30,8018,0.5
2000,0,0.3982822659118085,0.39323429034106117,0.8473390743075843,0.12750519158234816,832,30,9209,0.5
2100,0,0.5704276921570859,0.5640802621520892,0.8474427095600592,0.12661334702539165,897,30,10493,0.5
2200,0,0.5603952013734851,0.5406990836723573,0.8475556219733583,0.125959765742668,848,30,11825,0.5
2300,0,0.49349402914931806,0.49349402914931806,0.8474846369896528,0.12650464112821547,966,30,13177,0.5
2400,0,0.3289959042926517,0.3216990522670149,0.8471408716204838,0.12651501655791406,1054,30,14586,0.5
2500,0,0.6225342483071848,0.6225342483071848,0.8480138037874041,0.1264482317128225,925,30,16138,0.5
2600,0,0.357166297462435,0.34634854992205033,0.8475881215820668,0.1258854538824971,1042,30,17655,0.5
2700,0,0.6012891332564799,0.5895548015650601,0.8461808121334262,0.12616984472919587,1008,30,19392,0.5
2800,0,0.5682230051491989,0.5625965053002009,0.8464359146091867,0.12608936166409979,1048,30,21207,0.5
2900,0,0.5906540120725929,0.5906540120725929,0.8462560434611374,0.12637041911325822,1037,30,23088,0.5
1000,1,0.3161005908195702,0.30244290597906576,0.8547401451553432,0.13254455968285891,499,30,513,0.5
1100,1,0.24634827632834774,0.2456395708934973,0.8561529555988314,0.13394187867024107,554,30,1047,0.5
1200,1,0.439844970443062,0.439844970443062,0.8567500397984611,0.13311578440923175,523,30,1725,0.5
1300,1,0.34058519219916217,0.34058519219916217,0.8562847698046412,0.1348126883175967,628,30,2396,0.5
1400,1,0.3626897008763974,0.35827750482195453,0.8558200739575081,0.13500013604625583,618,30,3225,0.5
1500,1,0.3623678456097039,0.3387425672513081,0.855919580286644,0.13539673168293312,726,30,3985,0.5
1600,1,0.25769274588979285,0.25769274588979285,0.8552190203595069,0.1359866840605513,756,30,4832,0.5
1700,1,0.562831902993839,0.562831902993839,0.8544901475802591,0.13546689533258544,672,30,5825,0.5
1800,1,0.3076188262787311,0.3018303130128103,0.8551540545305341,0.13511671556418814,792,30,6850,0.5
1900,1,0.39487321623713856,0.3868124041596498,0.8566244849986804,0.13497275086547572,815,30,7961,0.5
2000,1,0.44633863421267705,0.44633863421267705,0.8573040533162424,0.13418421532925226,877,30,9110,0.5
2100,1,0.3638306676508728,0.35334019625421736,0.8574209604727133,0.13393712864414814,858,30,10327,0.5
2200,1,0.3899203847326605,0.3899203847326605,0.8578121190062271,0.13482398074151944,868,30,11629,0.5
2300,1,0.42658389687180787,0.4145844869696776,0.8576323616953633,0.13473734488646302,970,30,13023,0.5
2400,1,0.6541920275774241,0.6541920275774241,0.8577802175832234,0.13410155479804883,888,30,14474,0.5
2500,1,0.685996324307182,0.6664049472026866,0.8575937760152685,0.13410141704853942,829,30,16196,0.5
2600,1,0.619038159933386,0.619038159933386,0.8579089607480455,0.13478653130496843,928,30,17854,0.5
2700,1,0.5537103927845494,0.5537103927845494,0.8581345277519693,0.13494444207380416,1048,30,19575,0.5
