number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
100,0,0.1538854998468092,0.1419139443896713,0.8482605567898969,0.118042248891302,73,30,28,0.5,0.1271760445529158
200,0,0.14035345189791973,0.13853845412759477,0.8499557580350044,0.11971513234062706,142,30,86,0.5,0.1247698216406167
300,0,0.275313549584598,0.275313549584598,0.8454495645959156,0.12411707413427997,191,30,196,0.5,0.16604025930422292
400,0,0.22598441651398538,0.22598441651398538,0.849124112062174,0.12551114009545575,248,30,353,0.5,0.16938835040184208
500,0,0.262780001122775,0.262780001122775,0.8475499448897666,0.12581221955628097,288,30,584,0.5,0.15462395052369693
600,0,0.24194046418836843,0.24008919775321813,0.8494977292461686,0.12506952238049018,322,30,859,0.5,0.15335296130512394
700,0,0.2692622041191462,0.2692622041191462,0.8489371337052436,0.1227480976639345,392,30,1149,0.5,0.19201033893002023
800,0,0.45655372359724034,0.4407692808963015,0.85092212716028,0.124276750061075,408,30,1541,0.5,0.3252129661953074
900,0,0.31324852523816205,0.2875008704903202,0.8518346477910795,0.12524510900208297,454,30,1953,0.5,0.20194626637973262
1000,0,0.2832687480795875,0.2811789357176454,0.851928140232359,0.12469112145966259,493,30,2500,0.5,0.16770814570089534
100,1,0.15745320620343545,0.15161887865579887,0.8612806896248978,0.1377568237700536,78,30,18,0.5,0.14332369855233837
200,1,0.1658699404453178,0.16470519415537166,0.860167153089535,0.14081720753210067,146,30,88,0.5,0.14663912326568268
300,1,0.24374285125118997,0.23284638888138973,0.8611171191393746,0.13829638006899206,195,30,189,0.5,0.15689193285716932
400,1,0.27599272100581623,0.27599272100581623,0.8585812994192511,0.13542566470504372,238,30,358,0.5,0.16529541637695735
500,1,0.20803881061326432,0.19450289407476454,0.8592526450547328,0.1328208731356477,266,30,583,0.5,0.1516742981577544
600,1,0.1953998493650579,0.18018492799895444,0.8577448121428104,0.1333691846586813,360,30,834,0.5,0.1606333705551058
700,1,0.4510330500538091,0.4472768013828341,0.8593577907381204,0.13251973101002604,375,30,1189,0.5,0.21503040322195907
800,1,0.2548462589535529,0.2548462589535529,0.8597348314338764,0.13460770874427191,443,30,1550,0.5,0.15972715298288745
900,1,0.2779800649523389,0.2721641884071163,0.8587648567122129,0.13415522480546263,465,30,2013,0.5,0.16390974191738675
1000,1,0.3237794307495837,0.31191256382226124,0.8567842599074633,0.13299558305343018,499,30,2495,0.5,0.15830921208586568
100,2,0.23612102259832124,0.23612102259832124,0.861569038614596,0.16538603164878243,70,30,32,0.5,0.17840455453510315
200,2,0.21381975727049574,0.20791582371874665,0.8580116686244894,0.1548038610955037,133,30,91,0.5,0.1765317311292952
300,2,0.2566182320636643,0.24287189761829248,0.8663006543756874,0.15619907654485432,184,30,216,0.5,0.1870100115583916
400,2,0.3332476658793896,0.3332476658793896,0.8667505415020682,0.15283337214700274,223,30,406,0.5,0.194905157556856
500,2,0.28510944019618867,0.2748427469479569,0.8636459543782985,0.15682387645017604,279,30,637,0.5,0.2125099363177072
600,2,0.3333530725950433,0.3295995583004705,0.8616081899620133,0.1576897930528334,318,30,917,0.5,0.23052547015148012
700,2,0.5876933777700964,0.5804679489797979,0.8591628448320333,0.16006607182957688,330,30,1292,0.5,0.31118071215530463
800,2,0.3879097006037945,0.38784393949753637,0.854656467951165,0.15791411988478546,365,30,1741,0.5,0.2265136923621333
900,2,0.3825147237552803,0.3775352356869907,0.8551078488298685,0.15737435891332385,462,30,2234,0.5,0.28171978428460154
1000,2,0.5407131997772511,0.531991344489311,0.854176494023159,0.15747895385128813,406,30,2839,0.5,0.28748506235351473
100,3,0.23863519884649562,0.23863519884649562,0.8394749187937858,0.16248044477428164,78,30,25,0.5,0.1979692318340618
200,3,0.3385751712175315,0.3315784474476704,0.8455462335617883,0.16865739174336092,124,30,92,0.5,0.24469450074703264
