number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
10,10,0.11658381099630946,0.11658381099630946,0.8300205700076404,0.11395440188927904,12,30,0,0.5,0.11507090818217605
14,10,0.13596717937272224,0.13596717937272224,0.8074267028998818,0.1258858244611312,14,30,0,0.5,0.12762061307834288
20,10,0.12201885069716858,0.12151002914947573,0.8114945208505466,0.11720999568465713,16,30,1,0.5,0.11834103364288463
29,10,0.14675517984007994,0.1467245772956469,0.8415462482721268,0.13580364573918724,31,30,2,0.5,0.13914157344986763
42,10,0.13067095127802336,0.1278588413790796,0.806925581819226,0.12449413280723237,36,30,8,0.5,0.12649934042880112
61,10,0.14164886235882873,0.14077250602279784,0.8058686587283272,0.12501799957459342,52,30,17,0.5,0.128909086950655
88,10,0.14496753739280988,0.14249725436113925,0.8231053905339099,0.1210638237971871,59,30,41,0.5,0.12795614203373673
127,10,0.2011153677141097,0.19642024982070994,0.8247228581538787,0.1340745335243642,105,30,75,0.5,0.15045766650347575
183,10,0.2637791145170627,0.2637791145170627,0.8342101263800803,0.1357394749421897,122,30,142,0.5,0.1687033431559586
263,10,0.2523316713151941,0.2523316713151941,0.8286766118966442,0.13961377029218475,170,30,253,0.5,0.18335571775737824
379,10,0.35914604240944015,0.35232708563628967,0.8317464357355508,0.13786318420435073,226,30,415,0.5,0.24008562471729872
545,10,0.4199910255677314,0.4137822212500255,0.8311296959564466,0.13384169832090037,321,30,637,0.5,0.25568300853017045
784,10,0.4121913369240488,0.4030330947529362,0.8265707849361733,0.13533665706892625,380,30,1046,0.5,0.25375585828187525
1128,10,0.5178733793036446,0.5079446178875856,0.8305620482721732,0.13614317846728824,452,30,1705,0.5,0.34454745493643557
1623,10,0.5330466791674635,0.5288531538267334,0.8282565388984595,0.13741542334153248,616,30,2697,0.5,0.363145051502619
2335,10,0.4326187562901915,0.4161477414408075,0.8289884643356075,0.13581432831072593,823,30,4193,0.5,0.2958237371192337
3359,10,0.5827378399784178,0.5785031778771207,0.8320302095105336,0.13688137465519318,838,30,6636,0.5,0.38644267066943183
4832,10,0.46636579873096806,0.46606837364060016,0.8296788359944135,0.13890678175478993,1052,30,10228,0.5,0.4008094538256034
6951,10,0.4880386439852158,0.48318964183533675,0.828857226611852,0.13995137952158218,2164,30,15007,0.5,0.29961051333288347
10000,10,0.6805084101610089,0.6743261519556322,0.8272326909397248,0.140075164573848,2439,30,22447,0.5,0.48592672202108544
10,11,0.12721198413920262,0.12721198413920262,0.9052065047468159,0.1174034741402411,13,30,1,0.5,0.1194236485898863
14,11,0.13710817999443906,0.13710817999443906,0.8942357895715798,0.12871677583855937,14,30,2,0.5,0.1324425786618426
20,11,0.16689075570897013,0.16689075570897013,0.8868037917164665,0.14858886894525752,22,30,2,0.5,0.15358853988420276
29,11,0.2010826840068975,0.2010826840068975,0.8731615902430925,0.17862985080849836,26,30,5,0.5,0.18244602226034778
42,11,0.21969116442776424,0.2146209232387347,0.8857543182286514,0.16428882959476607,36,30,14,0.5,0.17994054193834808
61,11,0.21751971224750352,0.21751971224750352,0.8874186776100786,0.15711731301643603,52,30,27,0.5,0.1824090271286429
88,11,0.18308758412931816,0.17626405395817635,0.8708431017130369,0.16028890349040706,64,30,46,0.5,0.16606735420573793
127,11,0.2694937545653579,0.2557890161920876,0.8695348775779197,0.16001126254375875,71,30,89,0.5,0.19291673476951965
183,11,0.2971667935994703,0.2833357774288741,0.8698754701343098,0.15881273321128045,133,30,147,0.5,0.21100882512247277
263,11,0.3602735759458663,0.3514434292387267,0.8716792653179591,0.17166616787105382,137,30,275,0.5,0.2296328774900681
379,11,0.3857021972274492,0.3763458788781825,0.8698902371476597,0.16047474279467494,182,30,448,0.5,0.2539139617460514
545,11,0.5764983414861364,0.5764983414861364,0.8716945788432316,0.1624006922902358,277,30,719,0.5,0.3017653461387787
