number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
1,0,0.00027868440970079035,0.00027868440970079035,1.0,0.0,3,40,0,0.5
11,0,0.18312917635348158,0.18312917635348158,0.9060798107276112,0.17608446459075022,14,40,0,0.5
21,0,0.17293321901997563,0.17293321901997563,0.8304556919694805,0.15914809295962934,26,40,1,0.5
31,0,0.16601068485855813,0.16510113452706357,0.8297466694515653,0.15519101034921526,33,40,4,0.5
41,0,0.1846383016307197,0.18267087465739873,0.8404796398194664,0.17157773506731333,43,40,10,0.5
51,0,0.17209898288286302,0.17061048981596125,0.8493789474669968,0.16234496940483376,47,40,23,0.5
1,1,8.517459625439768e-05,8.517459625439768e-05,1.0,0.0,2,40,0,0.5
11,1,0.12866153781546405,0.12866153781546405,0.8908058669912062,0.12632016093032192,11,40,0,0.5
21,1,0.15809344256602012,0.15703293056359224,0.8444827738607257,0.15176193636612342,23,40,2,0.5
31,1,0.15092845761884058,0.1488902776688026,0.8412091628966128,0.14458989567241226,28,40,6,0.5
41,1,0.15413145965233777,0.1523894563826483,0.8394245709886387,0.14411486754467107,39,40,12,0.5
51,1,0.16219174015002694,0.15966856175384747,0.8440746470268219,0.15345673410594718,40,40,24,0.5
1,2,0.0005482213825693299,0.0005482213825693299,1.0,0.0,3,40,0,0.5
11,2,0.07369379328141425,0.07369379328141425,0.8432046313126221,0.07003889794732533,11,40,0,0.5
21,2,0.13483717609491577,0.1337385586473022,0.8312727972793255,0.1285384832561408,19,40,3,0.5
31,2,0.12328259816439606,0.1203967227610326,0.8203239691218459,0.11235355227959405,26,40,6,0.5
41,2,0.1336532426700506,0.1317300818869671,0.8074717458441899,0.11193193211014996,30,40,9,0.5
51,2,0.13881142374484176,0.13881142374484176,0.8134459545868362,0.11610344142479018,44,40,20,0.5
1,3,5.688896314363632e-05,5.688896314363632e-05,1.0,0.0,3,40,0,0.5
11,3,0.14050080431799078,0.13985194356584557,0.8348380448732382,0.13809387239805937,13,40,0,0.5
21,3,0.1165750300866852,0.1165750300866852,0.8630198141817981,0.11384696322320559,23,40,2,0.5
31,3,0.10726203759058404,0.10726203759058404,0.8697456260361437,0.10221298652314158,24,40,4,0.5
41,3,0.11345580206477392,0.10977149586219152,0.8699463392058854,0.10250418130484065,42,40,10,0.5
51,3,0.12602532766388785,0.12341758403090256,0.8460307605301713,0.10966793854106502,43,40,13,0.5
1,4,0.0005210428294083498,0.0005210428294083498,1.0,0.0,3,40,0,0.5
11,4,0.12397107161205517,0.12397107161205517,0.8863535293293666,0.1212416726038541,12,40,0,0.5
21,4,0.1321154974680018,0.1321154974680018,0.8582142098654453,0.1200524649603268,18,40,2,0.5
31,4,0.1365474480366864,0.13469214367728843,0.8388769549805609,0.12474464190757596,28,40,7,0.5
41,4,0.1527764190192581,0.14620844774933764,0.8300879441081228,0.12352437016469628,43,40,18,0.5
51,4,0.14457331263859044,0.13858263560118672,0.8289289798358651,0.1211725963631446,37,40,29,0.5
1,5,0.00039899964610414206,0.00039899964610414206,1.0,0.0,2,40,0,0.5
11,5,0.1570758457254535,0.1570758457254535,0.8237614995659542,0.15386500212221962,14,40,0,0.5
21,5,0.1786503950572225,0.1786503950572225,0.8623894202128626,0.1758352631989919,22,40,1,0.5
31,5,0.17762528858871238,0.17762528858871238,0.8444563347001869,0.16195353324093512,31,40,3,0.5
41,5,0.18493874789617398,0.1807171261089763,0.8414990117591682,0.1554374430094549,39,40,9,0.5
51,5,0.17307657387503925,0.1684945047259317,0.8352053781674523,0.1622011907364054,43,40,24,0.5
1,6,0.00041765166739671076,0.00041765166739671076,1.0,0.0,3,40,0,0.5
11,6,0.069084242383255,0.069084242383255,0.8643277750271318,0.06578863743711928,14,40,0,0.5
21,6,0.08440816473351628,0.08440816473351628,0.8871282248661152,0.07709063251738382,25,40,0,0.5
31,6,0.08501938542454576,0.0841642345192538,0.8701139958688672,0.07997843662618362,27,40,2,0.5
41,6,0.0918257298247886,0.0918257298247886,0.854424529314327,0.0821064842392493,41,40,9,0.5
51,6,0.09073609522848053,0.0897233199395514,0.8667500334422497,0.0837238636155813,41,40,20,0.5
1,7,0.0002302997566842853,0.0002302997566842853,1.0,0.0,3,40,0,0.5
11,7,0.18988322824462758,0.18988322824462758,0.8331840505694299,0.18926519605238432,5,40,0,0.5
21,7,0.18098949696380265,0.18098949696380265,0.8236263798401072,0.17963425650899495,16,40,2,0.5
31,7,0.1781634479296314,0.17816344792963135,0.813204099971216,0.17536374978429917,33,40,8,0.5
41,7,0.17469769653602713,0.17346486602470124,0.8120234711727883,0.16901301896745805,39,40,16,0.5
51,7,0.17961441408822545,0.17878106830268187,0.8194652431667678,0.17371067126409448,51,40,24,0.5
1,8,0.00027251685440650886,0.00027251685440650886,1.0,0.0,2,40,0,0.5
11,8,0.167713524616964,0.167713524616964,0.8638218272983026,0.16550427131790074,10,40,0,0.5
21,8,0.19616706315797888,0.19616706315797888,0.8618285835548065,0.19106597451461063,23,40,1,0.5
31,8,0.17494630450086673,0.17475383064769504,0.874079968682932,0.1722819571958642,31,40,3,0.5
41,8,0.18452317666055354,0.18452317666055354,0.8820382678354765,0.17943495544539256,29,40,10,0.5
51,8,0.18209297688362577,0.18036503621916494,0.8780688595146063,0.17659389510483992,38,40,16,0.5
