number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
500,0,0.4800521155684379,0.4800521155684379,0.8462658723842911,0.1731468511161799,453,40,548,0.5
1000,0,0.5122972278155175,0.5117822308523882,0.8542353086458845,0.1707006704312492,676,40,1873,0.5
500,1,0.48414904681853005,0.48130204562217294,0.8278532418890486,0.15256523872775354,320,40,681,0.5
1000,1,0.49308373590142124,0.49308373590142124,0.8293193267767258,0.15370917388772387,642,40,2040,0.5
500,2,0.3944711792656531,0.3944711792656531,0.8037294805481863,0.10620001500044218,311,40,685,0.5
1000,2,0.6550514266514245,0.6550514266514245,0.80411649032888,0.10645744706622257,543,40,2136,0.5
500,3,0.552483919828469,0.552483919828469,0.8568547282197528,0.1371305375641165,265,40,736,0.5
1000,3,0.5911838905768447,0.5899052376706988,0.8581188514280725,0.13024111331877142,621,40,2116,0.5
500,4,0.4833294656310162,0.4729286017676139,0.8332688928612646,0.13040757267683392,405,40,596,0.5
1000,4,0.6677089615470033,0.6653507421336815,0.8342137143830414,0.13108333842943476,657,40,1940,0.5
500,5,0.6631109279174108,0.6598450689596638,0.8616915825231847,0.14440585118094595,438,40,563,0.5
1000,5,0.6617999232621322,0.6607601837295132,0.8622711188134216,0.14380276145559814,744,40,1819,0.5
500,6,0.5381048370123511,0.5381048370123511,0.8246268988674129,0.13580830434470142,407,40,594,0.5
1000,6,0.609945300963834,0.5946270993272301,0.8315907966566984,0.13337076345985846,609,40,1986,0.5
500,7,0.4254038808713097,0.4254038808713097,0.8538790455504032,0.18480925438529713,360,40,641,0.5
1000,7,0.526183166958098,0.5150077390058934,0.8512869731023065,0.1828957332588893,698,40,1944,0.5
500,8,0.43346633212909325,0.4306468284493195,0.8617717414272033,0.16936845168145442,422,40,579,0.5
1000,8,0.413056523791825,0.40054511118871816,0.8619425873976445,0.17431741035658999,615,40,1965,0.5
