number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
10,0,0.013843463035646961,0.013256362351206075,1.0,0.0,13,40,0,0
30,0,0.03779766324842424,0.03419382878247143,1.0,0.0,28,40,2,0
50,0,0.07739426795888116,0.07203217196417408,1.0,0.0,36,40,12,0
70,0,0.1242895490344231,0.11904455730211166,1.0,0.0,63,40,29,0
90,0,0.11994131360963321,0.11225059360796,1.0,0.0,73,40,52,0
10,1,0.010441322837574542,0.009079774770310644,1.0,0.0,15,40,0,0
30,1,0.046780705801484114,0.043522240216259826,1.0,0.0,30,40,6,0
50,1,0.04158213428466517,0.03669807556607957,1.0,0.0,44,40,22,0
70,1,0.06359525715525018,0.06235840364552162,1.0,0.0,55,40,39,0
90,1,0.09936902762130016,0.09668486606090271,1.0,0.0,73,40,56,0
10,2,0.010123983888702849,0.009863644484912714,1.0,0.0,14,40,1,0
30,2,0.02553672886203914,0.024585290374395396,1.0,0.0,33,40,8,0
50,2,0.03368607883337615,0.03013277372322996,1.0,0.0,43,40,15,0
70,2,0.07071168313488226,0.06604727124124478,1.0,0.0,61,40,34,0
90,2,0.06778975090277466,0.06729119113228503,1.0,0.0,63,40,54,0
10,3,0.00490232296959387,0.003990925507417183,1.0,0.0,12,40,1,0
30,3,0.019774778209652417,0.01735918294680712,1.0,0.0,28,40,4,0
50,3,0.0424046453055706,0.03908659547200259,1.0,0.0,47,40,14,0
70,3,0.0590390541268585,0.05781413404201044,1.0,0.0,68,40,22,0
90,3,0.060877756423098645,0.05781413404201053,1.0,0.0,72,40,47,0
10,4,0.005052245403773031,0.005052245403773031,1.0,0.0,9,40,0,0
30,4,0.0583249012641991,0.05789078818742493,1.0,0.0,28,40,3,0
50,4,0.08306512160117481,0.07632550793581327,1.0,0.0,39,40,14,0
70,4,0.1076812456439616,0.10019728657176308,1.0,0.0,55,40,32,0
90,4,0.18313289031826227,0.17360941054665485,1.0,0.0,76,40,46,0
10,5,0.017186474371259915,0.013462578181620482,1.0,0.0,11,40,0,0
30,5,0.062301617151903306,0.0566348393958483,1.0,0.0,31,40,4,0
50,5,0.0636900301862503,0.06230161715190338,1.0,0.0,47,40,19,0
70,5,0.1049452886415707,0.09769469760570895,1.0,0.0,55,40,34,0
90,5,0.16517945785045063,0.16425992446478854,1.0,0.0,70,40,49,0
10,6,0.007753709464222354,0.006355538130729893,1.0,0.0,12,40,0,0
30,6,0.03965158738694038,0.03584644622232222,1.0,0.0,28,40,4,0
50,6,0.043671305097379653,0.03965158738694034,1.0,0.0,34,40,8,0
70,6,0.084734451427198,0.07876426826492018,1.0,0.0,55,40,32,0
90,6,0.10832599491634265,0.10722837135227914,1.0,0.0,65,40,56,0
10,7,0.014527329878124735,0.013464939023359612,1.0,0.0,16,40,0,0
30,7,0.02545608717286619,0.025102394274905786,1.0,0.0,35,40,3,0
50,7,0.03726724018155454,0.03659178414053698,1.0,0.0,39,40,9,0
70,7,0.036277168852596055,0.03605913647105665,1.0,0.0,59,40,28,0
90,7,0.057314073796146024,0.05723337857398502,1.0,0.0,68,40,47,0
10,8,0.004788848397288678,0.004788848397288678,1.0,0.0,10,40,0,0
30,8,0.024608365080468302,0.022973673251236153,1.0,0.0,30,40,3,0
50,8,0.06077454066072598,0.059564954007061625,1.0,0.0,46,40,17,0
70,8,0.04767263039182849,0.04666456270971051,1.0,0.0,55,40,26,0
90,8,0.1082337399233035,0.10248453751682612,1.0,0.0,82,40,44,0
