number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs
10,0,0.33844332822947654,0.3363648345890076,0.6575133821685462,0.3320519433403389,42,40,11
20,0,0.41787607575561775,0.4159682414587212,0.5908533218196687,0.4103877358688977,27,40,99
30,0,0.46999538529237805,0.46981105145110497,0.6062669293909407,0.4654670442950238,15,40,239
40,0,0.4936266575630908,0.4925005735156659,0.5796383408748244,0.4876413767798615,1,40,453
50,0,0.5110531864300971,0.5099350460374411,0.580800209088253,0.5062330465327505,1,40,690
60,0,0.5192018041905817,0.5190556654884413,0.5584883363985449,0.5164982978959415,1,40,978
70,0,0.5074991042342923,0.5074991042342923,0.5490859994468761,0.5049250247764956,1,40,1320
80,0,0.5110307762530527,0.5099898587674856,0.5473551523516211,0.5079166676485121,1,40,1710
90,0,0.5072669406834008,0.5068758149632727,0.5509721931697669,0.504221290342541,1,40,2160
100,0,0.5115138819088301,0.5098782904515015,0.5558695711677297,0.5084662039951737,1,40,2657
10,1,0.3820212449261493,0.3812013349513196,0.7228033764182845,0.37706166290562393,43,40,8
20,1,0.385861304746281,0.38512838933139737,0.6637285222063567,0.3810124138974983,17,40,84
30,1,0.3728870292442112,0.37170496511785234,0.615354191305146,0.3673247737860709,4,40,218
40,1,0.3880285136254483,0.3878152337370714,0.5722707198417155,0.38523089597687343,1,40,459
50,1,0.4091246032093143,0.407872514283754,0.5875640576710167,0.40660145509284357,1,40,717
60,1,0.4247879171175602,0.4237915238186657,0.5989462943563646,0.42210384325898137,1,40,1035
70,1,0.43747450123187925,0.4351658937750488,0.5900512574257648,0.43427445535729337,1,40,1410
80,1,0.45182539073219347,0.44954973174863905,0.5666098637006526,0.44741030726995906,1,40,1845
90,1,0.45968230527632414,0.4589998997465194,0.5591928384201558,0.4553157061867318,1,40,2297
100,1,0.4648012891883085,0.4641289785356837,0.5532641293137645,0.45848743965474364,1,40,2804
10,2,0.39702746360699476,0.39683560032316,0.7016295033712299,0.3956601657278947,45,40,9
20,2,0.44824948263841546,0.44773900597568606,0.6499247953672749,0.4443899504338951,22,40,76
30,2,0.49156930281539374,0.49052891271802235,0.6238327210367501,0.4900406275819749,1,40,225
40,2,0.48985811072032953,0.48968322845866863,0.6116521203658927,0.4892280529533154,1,40,433
50,2,0.4841205691518807,0.4837787708854244,0.5958704252605258,0.4833089625516498,1,40,658
60,2,0.49267324475558144,0.49249778682919415,0.6036114318130328,0.49167538759850726,1,40,968
70,2,0.4813509300186191,0.4807725014937539,0.5897513790076556,0.4802296878943774,1,40,1324
80,2,0.4880544713268332,0.48788835744437176,0.5854162932889129,0.48628295547597206,1,40,1721
90,2,0.4901073817001408,0.48984926765203696,0.5726000349008102,0.4891269176715098,1,40,2167
100,2,0.4918845465184546,0.49147188106598605,0.5654416240489574,0.48975658160632013,1,40,2640
10,3,0.35076405702434477,0.35076405702434477,0.6567746649437372,0.3484433928311218,42,40,6
20,3,0.4530590938409277,0.4523006948595566,0.6392079395166853,0.44996078027697434,30,40,67
30,3,0.48236490387734804,0.4798013746938377,0.5899306300404242,0.4776724574595177,7,40,205
40,3,0.49267448901898775,0.49267448901898775,0.5622988880476211,0.4877737916255234,1,40,407
50,3,0.4976755177798192,0.497009003238241,0.5603510128001915,0.4941730531064578,1,40,671
60,3,0.5075710052029031,0.5065428795307223,0.5596271937271786,0.5037578343940873,1,40,958
70,3,0.5106791688370405,0.5097334384037566,0.5556773206150425,0.5037962452376974,1,40,1309
80,3,0.514861257804234,0.514861257804234,0.5431191475087541,0.5080981182721596,1,40,1685
90,3,0.510046883431976,0.5086910437097085,0.539716947952359,0.5035035848669953,1,40,2126
100,3,0.5136140996720194,0.5136140996720195,0.5374416921266303,0.5071811160772597,1,40,2625
10,4,0.34986650337310865,0.3495988077107137,0.587529520108719,0.3473894666711096,41,40,5
20,4,0.4644661831685977,0.4621268404443911,0.58671676552035,0.45748877668120674,23,40,89
30,4,0.4713298845684228,0.4713298845684228,0.5717219180717286,0.46487728192881583,5,40,248
40,4,0.4834087526344102,0.4834087526344102,0.5644807803429204,0.4755666225434031,1,40,436
50,4,0.4938058141723889,0.49034564363308675,0.5611622636436073,0.4889513709421005,1,40,686
60,4,0.4904323412120823,0.48912428292677734,0.554562755847152,0.4860788295110297,1,40,979
70,4,0.508608384787457,0.5078008894732609,0.5650334268643775,0.5044220710471978,1,40,1337
80,4,0.5067356850953575,0.5046988374650443,0.5538412928701308,0.5032947640646294,1,40,1759
90,4,0.5102225338715108,0.5095314651599399,0.5496933417290119,0.5064987060962133,1,40,2217
100,4,0.5161095311222635,0.5119058511709886,0.5487458640636271,0.5071767236719978,1,40,2726
10,5,0.3461076460164495,0.3461076460164495,0.6671134331945863,0.33598308236376917,45,40,10
20,5,0.431611515128993,0.431611515128993,0.6009381386287043,0.41760775012931306,14,40,106
30,5,0.4286392274426235,0.4189139725621471,0.578088305872276,0.4127196550764313,2,40,257
40,5,0.4540882009841883,0.4488620397657194,0.5607001041840396,0.438020181779428,1,40,441
50,5,0.4935836481872296,0.4630741715090199,0.5637067901563424,0.4553333225072065,1,40,704
60,5,0.5050283693290213,0.4661957544504105,0.5574203577368743,0.4548511518872962,1,40,992
70,5,0.5006427749123581,0.48062501056109275,0.554963997546833,0.4715144677835868,1,40,1345
80,5,0.49611447028782535,0.4861579988541676,0.5486569005207437,0.48329552947433213,1,40,1732
90,5,0.5051542966035262,0.5029735140716259,0.553488271628516,0.4977761337178057,1,40,2171
100,5,0.508339716102682,0.5078123498030385,0.5414111508996825,0.501874278981079,1,40,2683
10,6,0.36881889109183263,0.3683521707526774,0.6637312973415325,0.36525761351855346,38,40,10
20,6,0.3954831053545269,0.39382710198306353,0.6027132159976533,0.3861276904380836,33,40,85
30,6,0.41268169265267773,0.4083322611003894,0.6143947251378601,0.40605237707124275,3,40,234
40,6,0.4445606724308915,0.4445606724308915,0.59840135007899,0.42961816228466676,1,40,454
50,6,0.4566322355677619,0.43824538549927367,0.5733502390920701,0.4322645951719056,1,40,703
60,6,0.473077827820233,0.45030689641010613,0.5906469158409063,0.44215778166016634,1,40,1008
70,6,0.48367921651696943,0.4639901070794513,0.576594530907176,0.4552320632061798,1,40,1376
80,6,0.45950837561388297,0.445237317250307,0.5528546132122247,0.4414903641335293,1,40,1777
90,6,0.46427501652699377,0.45338660652838103,0.5543598765979642,0.4504088677072153,1,40,2247
100,6,0.47042225628334966,0.47042225628334966,0.5483761390830627,0.4595857254490995,1,40,2767
10,7,0.3606350174325554,0.35990246954837,0.6472273955619157,0.35872120061043344,44,40,10
20,7,0.3684448909780736,0.3678651128161122,0.5745065433534424,0.3601249579361443,14,40,93
30,7,0.397927930456015,0.397927930456015,0.5620565209166476,0.38843594726521263,1,40,254
40,7,0.42234022275709526,0.42234022275709526,0.5867225074653848,0.40860276499360254,1,40,459
50,7,0.43825779771960094,0.4315962423545892,0.5766490076408707,0.4287147152750358,1,40,730
60,7,0.4661818176676619,0.45339385386589254,0.588867569115352,0.45087785936693686,1,40,1052
70,7,0.44639862778899114,0.44639862778899114,0.5836073123560442,0.43968097090780217,1,40,1402
80,7,0.45288532839306656,0.4468585579071023,0.5712393949841715,0.44618093869240705,1,40,1817
90,7,0.4623571851151509,0.4623571851151509,0.5509722927019379,0.46085649279808105,1,40,2257
100,7,0.45884113063472937,0.4565245138287593,0.5547067518113795,0.45619795597488727,1,40,2748
10,8,0.3671225539577151,0.3669845819476061,0.6367146760956056,0.36132095174758383,46,40,13
