number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs
10,0,0.3326268889456051,0.3326268889456051,0.6575133821685462,0.3320519433403389,12,40,0
110,0,0.49025915366620343,0.4898001554862557,0.5485805915306043,0.48922072897386054,60,40,45
210,0,0.4977979686486001,0.49769675911730693,0.5408580090562604,0.49703097802010854,17,40,249
310,0,0.49417262184750915,0.4940960498224148,0.5261881442399802,0.4926569602638333,1,40,547
410,0,0.4934443778612816,0.4929955334415417,0.5242368631690545,0.4923360476958851,1,40,948
510,0,0.5018100232317192,0.5015608834439561,0.5206934695101598,0.5012792267972073,1,40,1480
610,0,0.49876406920525507,0.49858713667514637,0.5216472718684348,0.49826419703217856,1,40,2113
710,0,0.49974148314628936,0.49969917711662815,0.5188092144209039,0.4993242107112586,1,40,2799
810,0,0.49961635759559414,0.49961635759559414,0.5149782506889488,0.4992049676647562,1,40,3575
910,0,0.5007173288491171,0.5007006870529833,0.5155600587204869,0.5001640224625515,1,40,4464
10,1,0.37844979726264455,0.3782903179549039,0.7228033764182845,0.37706166290562393,12,40,0
110,1,0.4888960139850166,0.48885924812135356,0.5499348222598726,0.487332099814118,38,40,67
210,1,0.5030818413629609,0.5030818413629609,0.5218109563388483,0.5006957143880432,2,40,284
310,1,0.5028015597834123,0.5027292641775115,0.5201542546695194,0.5011621563384064,1,40,591
410,1,0.5127629064784773,0.5126362187337157,0.524995365687346,0.510722006586701,1,40,991
510,1,0.5131081254159134,0.5129541757537661,0.5228080682962055,0.5117460201588241,1,40,1481
610,1,0.5100180565259912,0.50949964939197,0.5196044226633464,0.508063941656035,1,40,2090
710,1,0.5051444665528004,0.5048206322369502,0.5161049195800411,0.5034796840145571,1,40,2779
810,1,0.5033770931413153,0.5032859400874378,0.5185396868324843,0.5021540593977455,1,40,3637
910,1,0.5049019537298426,0.5048889391003565,0.5173968768247674,0.503731033153198,1,40,4548
10,2,0.3959784729782522,0.3959784729782522,0.7016295033712299,0.3956601657278947,10,40,0
110,2,0.4847508240646326,0.4837182269638578,0.5591910335140649,0.4824920039460067,53,40,54
210,2,0.49522982208393407,0.4951030315139699,0.5432130967673917,0.492886261236083,4,40,242
310,2,0.5077830460668272,0.5077830460668272,0.5266312352421478,0.5061995397820028,1,40,541
410,2,0.5083767346765306,0.5080751742520132,0.5273752447755014,0.5072969214777493,1,40,943
510,2,0.5081539745672314,0.507380069112722,0.5210124836732735,0.5072837772879512,1,40,1457
