number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param
1000,0,0.3563366913671145,0.34755862932563963,0.8522551105049971,0.13862294812485393,484,20,512,0.5
1500,0,0.5875881766205137,0.5875881766205137,0.8506552127486243,0.13897260660375144,622,20,1420,0.5
2000,0,0.4110526060484358,0.4100468091180976,0.8487063063834878,0.1380565466216281,746,20,2642,0.5
2500,0,0.5079984382361423,0.5063391531312794,0.8495295488973664,0.13863586612447204,862,20,4194,0.5
1000,1,0.6794994286606835,0.6794994286606835,0.8705227857302528,0.14306670199317634,250,20,693,0.5
1500,1,0.6778908768244428,0.6759876954394551,0.8729346809972964,0.1431089953001805,274,20,1750,0.5
2000,1,0.6547291502782441,0.6540908301199144,0.873003439270228,0.1439888364220075,620,20,2989,0.5
2500,1,0.6757247116753548,0.6750639151958943,0.8733625561922547,0.14375643506102434,381,20,4827,0.5
1000,2,0.46125402756295214,0.4594368871652569,0.8787690094960369,0.17059906800871205,409,20,602,0.5
1500,2,0.5496647782858883,0.5496647782858883,0.8790303442299612,0.16936694117736942,644,20,1448,0.5
2000,2,0.6474175348352154,0.6435664041609374,0.8764546362609444,0.1697441636305889,718,20,2677,0.5
2500,2,0.46155126155254045,0.46073424555452847,0.8783936127653745,0.16963864292400926,846,20,4255,0.5
1000,3,0.5246831098820575,0.5139165350406698,0.8559253141558929,0.1571943267602296,461,20,546,0.5
1500,3,0.5420709639585963,0.5363683480357447,0.8572379899135821,0.15547164332269586,532,20,1436,0.5
2000,3,0.5349550406648542,0.5334275293618381,0.8578388125491184,0.15297576189423695,672,20,2679,0.5
2500,3,0.605844290415059,0.6044453654634157,0.8576988268847732,0.1538904219988507,664,20,4312,0.5
1000,4,0.5373114893141404,0.5365754007100471,0.8210466399435273,0.0947849836473497,414,20,552,0.5
1500,4,0.5351352459778653,0.5283385101221842,0.824220328533184,0.09424159502978743,713,20,1367,0.5
2000,4,0.5705308408172615,0.5652709380031011,0.8235237261352094,0.09455929851833918,840,20,2533,0.5
2500,4,0.5520785439526112,0.5479506815050746,0.8241334138360488,0.09348741654152558,846,20,4170,0.5
1000,5,0.580848554394805,0.5760888837641286,0.8357605337788757,0.1290359607892622,472,20,516,0.5
1500,5,0.5868534333328149,0.5855129365182844,0.8356563130918515,0.12969299078229582,606,20,1362,0.5
2000,5,0.6068083758367286,0.6037479369898171,0.8370199751299761,0.12954311023182685,713,20,2599,0.5
2500,5,0.6047378511683801,0.6028440066647428,0.8374019656451616,0.12798727292101184,822,20,4211,0.5
1000,6,0.5961335767247307,0.5961335767247307,0.8806712663958858,0.17401792544696587,420,20,573,0.5
1500,6,0.637307570560909,0.637307570560909,0.8830112810379103,0.17357847911918317,584,20,1449,0.5
2000,6,0.3153713478555536,0.299016090489659,0.8832384508619323,0.17360232611381474,831,20,2581,0.5
2500,6,0.7084811884390778,0.7084811884390778,0.8813019287962462,0.1738410288844768,856,20,4191,0.5
1000,7,0.5151274296988094,0.5151274296988094,0.8557468635563049,0.15097046369264647,437,20,529,0.5
1500,7,0.46282371019968443,0.46282371019968443,0.8531349194896799,0.15302953317148132,660,20,1361,0.5
2000,7,0.498867088594651,0.48816782193245667,0.8557932501434764,0.15331746663971424,708,20,2543,0.5
2500,7,0.5197773825318279,0.4992809184253343,0.857021216262415,0.15375359703818997,945,20,4052,0.5
1000,8,0.5291604125863706,0.5078529801628673,0.8472870827049117,0.14626016888096194,429,20,573,0.5
1500,8,0.6064428512266038,0.605739323008993,0.8437525268008598,0.14685525452018663,626,20,1448,0.5
2000,8,0.607559289033504,0.6057138634057165,0.8418404347248803,0.14645378830996877,751,20,2640,0.5
2500,8,0.6404794939520075,0.6331242985766395,0.8437419930803474,0.14879572736928465,790,20,4346,0.5
