N,repetition,design,utility,max,utility_ratio
10,0,[7.43794107 8.98184026],0.0011131223793644,0.7211056135255193,0.0015436329415358
10,1,[ 7.5605997 10.4816626],3.4848674166786404e-05,0.7169894925655668,4.8604163001174784e-05
10,2,[-10.27079255  -8.13024442],2.098264783231956e-05,0.7402965071523132,2.834357264906352e-05
10,3,[8.56261999 9.10977322],2.3898165758968197e-05,0.7857368457372558,3.041497403185233e-05
10,4,[8.67640305 5.12608252],0.0004658951548936,0.6846534721565666,0.0006804831551151
10,5,[10.01565415  5.32366173],0.0001519464872872,0.7922111300591265,0.0001918004955016
10,6,[-8.11647264 -8.27960204],0.0001859654900855,0.7837198590008091,0.0002372856677674
10,7,[-8.58043222 -8.72488937],0.000153420371826,0.7472484744719404,0.0002053137303952
10,8,[-7.46474252 -9.47168933],1.4961971648432907e-05,0.7576405823726585,1.97481127549654e-05
10,9,[9.25790355 5.67012064],0.0001377745555678,0.8177546404128229,0.0001684790874415
10,10,[-9.65855807 -8.29384508],9.052406226765786e-05,0.7445644861400912,0.0001215798818675
10,11,[-9.26575387 -6.92369827],0.0003561893798313,0.7364606028440138,0.0004836502841508
10,12,[9.21145867 8.53640295],7.24188018098386e-05,0.6706076026408436,0.0001079898311988
10,13,[-8.65572813 -9.13676912],0.0001143159334155,0.7620738581252728,0.0001500063703756
10,14,[-8.7574384  -9.24770293],1.5771892538144357e-05,0.6966796698931728,2.2638657649594944e-05
10,15,[-7.19659922 -8.37302195],0.0001081621719322,0.8391249339049619,0.00012889877009
10,16,[ 9.22639555 10.        ],2.383222320344321e-05,0.7390852040316749,3.2245569351733146e-05
10,17,[9.48411595 9.43184407],9.887401850636289e-06,0.7025065802921202,1.407446154671584e-05
10,18,[9.81428697 7.34910086],5.449842954243037e-05,0.7118964219098417,7.655387478451513e-05
10,19,[-8.95719746 -8.75276042],4.18400014240157e-05,0.6735543469012384,6.21182264155896e-05
10,20,[10.2275924   7.62410648],3.611791623237145e-05,0.782658344810264,4.614774310127281e-05
10,21,[10. 10.],1.0720389212374251e-05,0.7367532862900609,1.4550853605766772e-05
10,22,[-9.20889397 -9.6668288 ],0.0001282682850394,0.7512486140304947,0.0001707401286923
10,23,[-8.75070529 -9.1259997 ],2.795361250405324e-05,0.778351904054945,3.5913848682613294e-05
10,24,[ 8.04213803 10.05998563],5.195336484793698e-05,0.6222320797416822,8.349515645272623e-05
10,25,[10.17549209  8.95597417],7.157935358301695e-06,0.7765474615575662,9.21764053409512e-06
10,26,[ 8.24997024 10.        ],7.831482210111785e-05,0.7373627107759917,0.0001062093606804
